region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
OECD,2040,AIM,Yes,SR15,ADVANCE_2020_1.5C-2100,None,92.43942595,-0.024446947
OECD,2040,AIM,Yes,SR15,ADVANCE_2020_WB2C,None,90.12074417,-0.018267437
OECD,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1000,None,87.40447518,-0.016895151
OECD,2040,AIM,Yes,SR15,CD-LINKS_NPi2020_1600,None,77.96789062,-0.011324953
OECD,2040,AIM,Yes,SR15,EMF33_WB2C_full,None,88.29469657,-0.017272485
OECD,2040,AIM,Yes,SR15,SSP1-19,None,91.13298884,NA
OECD,2040,AIM,Yes,SR15,SSP1-26,None,85.96082221,NA
OECD,2040,AIM,Yes,SR15,SSP1-34,None,80.38243643,NA
OECD,2040,AIM,Yes,SR15,SSP2-19,None,96.04036812,NA
OECD,2040,AIM,Yes,SR15,SSP2-26,None,95.48558266,NA
OECD,2040,AIM,Yes,SR15,SSP2-34,None,99.39795112,NA
OECD,2040,AIM,Yes,SR15,SSP5-26,None,94.26482467,NA
OECD,2040,AIM,Yes,SR15,SSP5-34,None,92.91981685,NA
OECD,2040,BET,No,AR5,EMF27-450-FullTech,None,95.99659007,-0.020910387
OECD,2040,BET,No,AR5,EMF27-550-FullTech,None,104.9671581,-0.008794927
OECD,2040,GCAM,Yes,AR5,AMPERE2-450-FullTech-OPT,None,75.27364094,NA
OECD,2040,GCAM,Yes,AR5,EMF27-450-FullTech,None,80.3193595,-0.004261585
OECD,2040,GCAM,Yes,AR5,EMF27-550-FullTech,None,79.2106297,-0.003715716
OECD,2040,GCAM,Yes,AR5,LIMITS-450,None,83.72159605,-0.004797202
OECD,2040,GCAM,Yes,AR5,LIMITS-500,None,80.18768063,-0.003052148
OECD,2040,GCAM,Yes,AR5,ROSE 450 DEF,None,87.26505172,NA
OECD,2040,GCAM,Yes,AR5,ROSE 550 DEF,None,84.5154425,NA
OECD,2040,GCAM,Yes,SR15,SSP1-19,None,93.44452315,NA
OECD,2040,GCAM,Yes,SR15,SSP1-26,None,92.57061296,NA
OECD,2040,GCAM,Yes,SR15,SSP1-34,None,94.49946647,NA
OECD,2040,GCAM,Yes,SR15,SSP2-19,None,98.95265139,NA
OECD,2040,GCAM,Yes,SR15,SSP2-26,None,100.5499612,NA
OECD,2040,GCAM,Yes,SR15,SSP2-34,None,112.4990458,NA
OECD,2040,GCAM,Yes,SR15,SSP5-19,None,99.93940478,NA
OECD,2040,GCAM,Yes,SR15,SSP5-26,None,97.81643608,NA
OECD,2040,GCAM,Yes,SR15,SSP5-34,None,108.2781608,NA
OECD,2040,GRAPE,No,AR5,EMF27-550-FullTech,None,100.2439793,-0.003975951
OECD,2040,IMAGE,Yes,AR5,AMPERE2-450-FullTech-OPT,None,101.0440549,-0.004325259
OECD,2040,IMAGE,Yes,AR5,EMF27-450-FullTech,None,107.6720621,-0.004041791
OECD,2040,IMAGE,Yes,AR5,EMF27-550-FullTech,None,104.1493428,-0.00168275
OECD,2040,IMAGE,Yes,AR5,LIMITS-450,None,106.5557739,-0.004404038
OECD,2040,IMAGE,Yes,AR5,LIMITS-500,None,103.8633279,-0.001635703
OECD,2040,IMAGE,Yes,SR15,ADVANCE_2020_1.5C-2100,None,100.0209048,-0.018730129
OECD,2040,IMAGE,Yes,SR15,ADVANCE_2020_WB2C,None,99.19275406,-0.008211735
OECD,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1000,None,101.7727056,-0.021314779
OECD,2040,IMAGE,Yes,SR15,CD-LINKS_NPi2020_1600,None,102.5260621,-0.008670156
OECD,2040,IMAGE,Yes,SR15,EMF33_WB2C_full,None,88.27412907,-0.008868402
OECD,2040,IMAGE,Yes,SR15,SSP1-19,None,103.7649739,NA
OECD,2040,IMAGE,Yes,SR15,SSP1-26,None,74.68397741,NA
OECD,2040,IMAGE,Yes,SR15,SSP1-34,None,74.05912335,NA
OECD,2040,IMAGE,Yes,SR15,SSP2-26,None,98.66095551,NA
OECD,2040,IMAGE,Yes,SR15,SSP2-34,None,93.17405106,NA
